week_start_date,product_id,store_id,region,units_sold,revenue,promotion_flag,promotion_type,discount_pct
2024-03-25,BEV-001,STR-002,North,120,159.13,True,Price Cut,0.11
2024-04-01,BEV-001,STR-002,North,93,131.64,True,Display Feature,0.05
2024-04-08,BEV-001,STR-002,North,82,116.07,True,Display Feature,0.05
2024-04-15,BEV-001,STR-002,North,106,150.04,True,Display Feature,0.05
2024-04-22,BEV-001,STR-002,North,81,120.69,False,,0.0
2024-04-29,BEV-001,STR-002,North,70,104.3,False,,0.0
2024-05-06,BEV-001,STR-002,North,85,126.65,False,,0.0
2024-05-13,BEV-001,STR-002,North,80,119.2,False,,0.0
2024-05-20,BEV-001,STR-002,North,83,123.67,False,,0.0
2024-05-27,BEV-001,STR-002,North,89,132.61,False,,0.0
2024-06-03,BEV-001,STR-002,North,82,122.18,False,,0.0
2024-06-10,BEV-001,STR-002,North,91,135.59,False,,0.0
2024-01-01,BEV-001,STR-003,North,21,31.29,False,,0.0
2024-01-08,BEV-001,STR-003,North,57,45.86,True,BOGO,0.46
2024-01-15,BEV-001,STR-003,North,29,43.21,False,,0.0
2024-01-22,BEV-001,STR-003,North,25,37.25,False,,0.0
2024-01-29,BEV-001,STR-003,North,27,40.23,False,,0.0
2024-02-05,BEV-001,STR-003,North,26,38.74,False,,0.0
2024-02-12,BEV-001,STR-003,North,27,40.23,False,,0.0
2024-02-19,BEV-001,STR-003,North,25,37.25,False,,0.0
2024-02-26,BEV-001,STR-003,North,24,35.76,False,,0.0
2024-03-04,BEV-001,STR-003,North,31,46.19,False,,0.0
2024-03-11,BEV-001,STR-003,North,30,44.7,False,,0.0
2024-03-18,BEV-001,STR-003,North,33,49.17,False,,0.0
2024-03-25,BEV-001,STR-003,North,42,55.7,True,Price Cut,0.11
2024-04-01,BEV-001,STR-003,North,31,43.88,True,Display Feature,0.05
2024-04-08,BEV-001,STR-003,North,39,55.2,True,Display Feature,0.05
2024-04-15,BEV-001,STR-003,North,44,62.28,True,Display Feature,0.05
2024-04-22,BEV-001,STR-003,North,28,41.72,False,,0.0
2024-04-29,BEV-001,STR-003,North,32,47.68,False,,0.0
2024-05-06,BEV-001,STR-003,North,30,44.7,False,,0.0
2024-05-13,BEV-001,STR-003,North,30,44.7,False,,0.0
2024-05-20,BEV-001,STR-003,North,29,43.21,False,,0.0
2024-05-27,BEV-001,STR-003,North,33,49.17,False,,0.0
2024-06-03,BEV-001,STR-003,North,30,44.7,False,,0.0
2024-06-10,BEV-001,STR-003,North,33,49.17,False,,0.0
2024-01-01,BEV-001,STR-004,North,53,78.97,False,,0.0
2024-01-08,BEV-001,STR-004,North,68,101.32,False,,0.0
2024-01-15,BEV-001,STR-004,North,61,90.89,False,,0.0
2024-01-22,BEV-001,STR-004,North,58,86.42,False,,0.0
2024-01-29,BEV-001,STR-004,North,70,104.3,False,,0.0
2024-02-05,BEV-001,STR-004,North,76,113.24,False,,0.0
2024-02-12,BEV-001,STR-004,North,67,99.83,False,,0.0
2024-02-19,BEV-001,STR-004,North,65,96.85,False,,0.0
2024-02-26,BEV-001,STR-004,North,72,107.28,False,,0.0
2024-03-04,BEV-001,STR-004,North,68,101.32,False,,0.0
2024-03-11,BEV-001,STR-004,North,71,105.79,False,,0.0
2024-03-18,BEV-001,STR-004,North,82,122.18,False,,0.0
2024-03-25,BEV-001,STR-004,North,113,149.85,True,Price Cut,0.11
2024-04-01,BEV-001,STR-004,North,91,128.81,True,Display Feature,0.05
2024-04-08,BEV-001,STR-004,North,81,114.66,True,Display Feature,0.05
2024-04-15,BEV-001,STR-004,North,88,124.56,True,Display Feature,0.05
2024-04-22,BEV-001,STR-004,North,87,129.63,False,,0.0
2024-04-29,BEV-001,STR-004,North,69,102.81,False,,0.0
2024-05-06,BEV-001,STR-004,North,81,120.69,False,,0.0
2024-05-13,BEV-001,STR-004,North,79,117.71,False,,0.0
2024-05-20,BEV-001,STR-004,North,87,129.63,False,,0.0
2024-05-27,BEV-001,STR-004,North,73,108.77,False,,0.0
2024-06-03,BEV-001,STR-004,North,76,113.24,False,,0.0
2024-06-10,BEV-001,STR-004,North,71,105.79,False,,0.0
2024-01-01,BEV-001,STR-005,North,64,95.36,False,,0.0
2024-01-08,BEV-001,STR-005,North,64,95.36,False,,0.0
2024-01-15,BEV-001,STR-005,North,56,83.44,False,,0.0
2024-01-22,BEV-001,STR-005,North,71,105.79,False,,0.0
2024-01-29,BEV-001,STR-005,North,66,98.34,False,,0.0
2024-02-05,BEV-001,STR-005,North,67,99.83,False,,0.0
2024-02-12,BEV-001,STR-005,North,63,93.87,False,,0.0
2024-02-19,BEV-001,STR-005,North,64,95.36,False,,0.0
2024-02-26,BEV-001,STR-005,North,61,90.89,False,,0.0
2024-03-04,BEV-001,STR-005,North,68,101.32,False,,0.0
2024-03-11,BEV-001,STR-005,North,76,113.24,False,,0.0
2024-03-18,BEV-001,STR-005,North,80,119.2,False,,0.0
2024-03-25,BEV-001,STR-005,North,68,101.32,False,,0.0
2024-04-01,BEV-001,STR-005,North,95,134.47,True,Display Feature,0.05
2024-04-08,BEV-001,STR-005,North,91,128.81,True,Display Feature,0.05
2024-04-15,BEV-001,STR-005,North,115,162.78,True,Display Feature,0.05
2024-04-22,BEV-001,STR-005,North,85,126.65,False,,0.0
2024-04-29,BEV-001,STR-005,North,66,98.34,False,,0.0
2024-05-06,BEV-001,STR-005,North,72,107.28,False,,0.0
2024-05-13,BEV-001,STR-005,North,85,126.65,False,,0.0
2024-05-20,BEV-001,STR-005,North,85,126.65,False,,0.0
2024-05-27,BEV-001,STR-005,North,76,113.24,False,,0.0
2024-06-03,BEV-001,STR-005,North,77,114.73,False,,0.0
2024-06-10,BEV-001,STR-005,North,76,113.24,False,,0.0
2024-01-01,BEV-001,STR-006,North,98,146.02,False,,0.0
2024-01-08,BEV-001,STR-006,North,101,150.49,False,,0.0
2024-01-15,BEV-001,STR-006,North,110,163.9,False,,0.0
2024-01-22,BEV-001,STR-006,North,105,156.45,False,,0.0
2024-01-29,BEV-001,STR-006,North,118,175.82,False,,0.0
2024-02-05,BEV-001,STR-006,North,120,178.8,False,,0.0
2024-02-12,BEV-001,STR-006,North,108,160.92,False,,0.0
2024-02-19,BEV-001,STR-006,North,114,169.86,False,,0.0
2024-02-26,BEV-001,STR-006,North,106,157.94,False,,0.0
2024-03-04,BEV-001,STR-006,North,118,175.82,False,,0.0
2024-03-11,BEV-001,STR-006,North,100,149.0,False,,0.0
2024-03-18,BEV-001,STR-006,North,104,154.96,False,,0.0
2024-03-25,BEV-001,STR-006,North,135,179.02,True,Price Cut,0.11
2024-04-01,BEV-001,STR-006,North,134,189.68,True,Display Feature,0.05
2024-04-08,BEV-001,STR-006,North,125,176.94,True,Display Feature,0.05
2024-04-15,BEV-001,STR-006,North,170,240.63,True,Display Feature,0.05
2024-04-22,BEV-001,STR-006,North,131,195.19,False,,0.0
2024-04-29,BEV-001,STR-006,North,119,177.31,False,,0.0
2024-05-06,BEV-001,STR-006,North,137,204.13,False,,0.0
2024-05-13,BEV-001,STR-006,North,141,210.09,False,,0.0
2024-05-20,BEV-001,STR-006,North,143,213.07,False,,0.0
2024-05-27,BEV-001,STR-006,North,144,214.56,False,,0.0
2024-06-03,BEV-001,STR-006,North,118,175.82,False,,0.0
2024-06-10,BEV-001,STR-006,North,116,172.84,False,,0.0
2024-01-01,BEV-001,STR-007,North,26,38.74,False,,0.0
2024-01-08,BEV-001,STR-007,North,55,44.25,True,BOGO,0.46
2024-01-15,BEV-001,STR-007,North,25,37.25,False,,0.0
2024-01-22,BEV-001,STR-007,North,23,34.27,False,,0.0
2024-01-29,BEV-001,STR-007,North,24,35.76,False,,0.0
2024-02-05,BEV-001,STR-007,North,25,37.25,False,,0.0
2024-02-12,BEV-001,STR-007,North,26,38.74,False,,0.0
2024-02-19,BEV-001,STR-007,North,27,40.23,False,,0.0
2024-02-26,BEV-001,STR-007,North,26,38.74,False,,0.0
2024-03-04,BEV-001,STR-007,North,27,40.23,False,,0.0
2024-03-11,BEV-001,STR-007,North,27,40.23,False,,0.0
2024-03-18,BEV-001,STR-007,North,29,43.21,False,,0.0
2024-03-25,BEV-001,STR-007,North,32,47.68,False,,0.0
2024-04-01,BEV-001,STR-007,North,25,37.25,False,,0.0
2024-04-08,BEV-001,STR-007,North,29,43.21,False,,0.0
2024-04-15,BEV-001,STR-007,North,33,49.17,False,,0.0
2024-04-22,BEV-001,STR-007,North,29,43.21,False,,0.0
2024-04-29,BEV-001,STR-007,North,31,46.19,False,,0.0
2024-05-06,BEV-001,STR-007,North,29,43.21,False,,0.0
2024-05-13,BEV-001,STR-007,North,28,41.72,False,,0.0
2024-05-20,BEV-001,STR-007,North,35,52.15,False,,0.0
2024-05-27,BEV-001,STR-007,North,27,40.23,False,,0.0
2024-06-03,BEV-001,STR-007,North,30,44.7,False,,0.0
2024-06-10,BEV-001,STR-007,North,37,55.13,False,,0.0
2024-01-01,BEV-001,STR-008,North,80,119.2,False,,0.0
2024-01-08,BEV-001,STR-008,North,195,156.9,True,BOGO,0.46
2024-01-15,BEV-001,STR-008,North,95,141.55,False,,0.0
2024-01-22,BEV-001,STR-008,North,106,157.94,False,,0.0
2024-01-29,BEV-001,STR-008,North,103,153.47,False,,0.0
2024-02-05,BEV-001,STR-008,North,101,150.49,False,,0.0
2024-02-12,BEV-001,STR-008,North,125,186.25,False,,0.0
2024-02-19,BEV-001,STR-008,North,102,151.98,False,,0.0
2024-02-26,BEV-001,STR-008,North,119,177.31,False,,0.0
2024-03-04,BEV-001,STR-008,North,100,149.0,False,,0.0
2024-03-11,BEV-001,STR-008,North,120,178.8,False,,0.0
2024-03-18,BEV-001,STR-008,North,123,183.27,False,,0.0
2024-03-25,BEV-001,STR-008,North,169,224.11,True,Price Cut,0.11
2024-04-01,BEV-001,STR-008,North,147,208.08,True,Display Feature,0.05
2024-04-08,BEV-001,STR-008,North,145,205.25,True,Display Feature,0.05
2024-04-15,BEV-001,STR-008,North,133,188.26,True,Display Feature,0.05
2024-04-22,BEV-001,STR-008,North,114,169.86,False,,0.0
2024-04-29,BEV-001,STR-008,North,124,184.76,False,,0.0
2024-05-06,BEV-001,STR-008,North,120,178.8,False,,0.0
2024-05-13,BEV-001,STR-008,North,116,172.84,False,,0.0
2024-05-20,BEV-001,STR-008,North,126,187.74,False,,0.0
2024-05-27,BEV-001,STR-008,North,138,205.62,False,,0.0
2024-06-03,BEV-001,STR-008,North,140,208.6,False,,0.0
2024-06-10,BEV-001,STR-008,North,125,186.25,False,,0.0
2024-01-01,BEV-001,STR-009,North,56,83.44,False,,0.0
2024-01-08,BEV-001,STR-009,North,54,80.46,False,,0.0
2024-01-15,BEV-001,STR-009,North,72,107.28,False,,0.0
2024-01-22,BEV-001,STR-009,North,71,105.79,False,,0.0
2024-01-29,BEV-001,STR-009,North,61,90.89,False,,0.0
2024-02-05,BEV-001,STR-009,North,74,110.26,False,,0.0
2024-02-12,BEV-001,STR-009,North,70,104.3,False,,0.0
2024-02-19,BEV-001,STR-009,North,69,102.81,False,,0.0
2024-02-26,BEV-001,STR-009,North,78,116.22,False,,0.0
2024-03-04,BEV-001,STR-009,North,65,96.85,False,,0.0
2024-03-11,BEV-001,STR-009,North,68,101.32,False,,0.0
2024-03-18,BEV-001,STR-009,North,80,119.2,False,,0.0
2024-03-25,BEV-001,STR-009,North,66,98.34,False,,0.0
2024-04-01,BEV-001,STR-009,North,69,102.81,False,,0.0
2024-04-08,BEV-001,STR-009,North,71,105.79,False,,0.0
2024-04-15,BEV-001,STR-009,North,68,101.32,False,,0.0
2024-04-22,BEV-001,STR-009,North,73,108.77,False,,0.0
2024-04-29,BEV-001,STR-009,North,88,131.12,False,,0.0
2024-05-06,BEV-001,STR-009,North,83,123.67,False,,0.0
2024-05-13,BEV-001,STR-009,North,90,134.1,False,,0.0
2024-05-20,BEV-001,STR-009,North,70,104.3,False,,0.0
2024-05-27,BEV-001,STR-009,North,92,137.08,False,,0.0
2024-06-03,BEV-001,STR-009,North,88,131.12,False,,0.0
2024-06-10,BEV-001,STR-009,North,80,119.2,False,,0.0
2024-01-01,BEV-001,STR-010,North,68,101.32,False,,0.0
2024-01-08,BEV-001,STR-010,North,79,117.71,False,,0.0
2024-01-15,BEV-001,STR-010,North,73,108.77,False,,0.0
2024-01-22,BEV-001,STR-010,North,81,120.69,False,,0.0
2024-01-29,BEV-001,STR-010,North,73,108.77,False,,0.0
2024-02-05,BEV-001,STR-010,North,83,123.67,False,,0.0
2024-02-12,BEV-001,STR-010,North,92,137.08,False,,0.0
2024-02-19,BEV-001,STR-010,North,88,131.12,False,,0.0
2024-02-26,BEV-001,STR-010,North,88,131.12,False,,0.0
2024-03-04,BEV-001,STR-010,North,80,119.2,False,,0.0
2024-03-11,BEV-001,STR-010,North,88,131.12,False,,0.0
2024-03-18,BEV-001,STR-010,North,99,147.51,False,,0.0
2024-03-25,BEV-001,STR-010,North,91,135.59,False,,0.0
2024-04-01,BEV-001,STR-010,North,133,188.26,True,Display Feature,0.05
2024-04-08,BEV-001,STR-010,North,126,178.35,True,Display Feature,0.05
2024-04-15,BEV-001,STR-010,North,143,202.42,True,Display Feature,0.05
2024-04-22,BEV-001,STR-010,North,107,159.43,False,,0.0
2024-04-29,BEV-001,STR-010,North,103,153.47,False,,0.0
2024-05-06,BEV-001,STR-010,North,98,146.02,False,,0.0
2024-05-13,BEV-001,STR-010,North,94,140.06,False,,0.0
2024-05-20,BEV-001,STR-010,North,89,132.61,False,,0.0
2024-05-27,BEV-001,STR-010,North,99,147.51,False,,0.0
2024-06-03,BEV-001,STR-010,North,109,162.41,False,,0.0
2024-06-10,BEV-001,STR-010,North,108,160.92,False,,0.0
2024-01-01,BEV-001,STR-011,South,48,71.52,False,,0.0
2024-01-08,BEV-001,STR-011,South,49,73.01,False,,0.0
2024-01-15,BEV-001,STR-011,South,57,84.93,False,,0.0
2024-01-22,BEV-001,STR-011,South,59,87.91,False,,0.0
2024-01-29,BEV-001,STR-011,South,64,95.36,False,,0.0
2024-02-05,BEV-001,STR-011,South,60,89.4,False,,0.0
2024-02-12,BEV-001,STR-011,South,63,93.87,False,,0.0
2024-02-19,BEV-001,STR-011,South,58,86.42,False,,0.0
2024-02-26,BEV-001,STR-011,South,67,99.83,False,,0.0
2024-03-04,BEV-001,STR-011,South,54,80.46,False,,0.0
2024-03-11,BEV-001,STR-011,South,65,96.85,False,,0.0
2024-03-18,BEV-001,STR-011,South,61,90.89,False,,0.0
2024-03-25,BEV-001,STR-011,South,54,80.46,False,,0.0
2024-04-01,BEV-001,STR-011,South,87,123.15,True,Display Feature,0.05
2024-04-08,BEV-001,STR-011,South,85,120.32,True,Display Feature,0.05
2024-04-15,BEV-001,STR-011,South,81,114.66,True,Display Feature,0.05
2024-04-22,BEV-001,STR-011,South,73,108.77,False,,0.0
2024-04-29,BEV-001,STR-011,South,69,102.81,False,,0.0
2024-05-06,BEV-001,STR-011,South,63,93.87,False,,0.0
2024-05-13,BEV-001,STR-011,South,59,87.91,False,,0.0
2024-05-20,BEV-001,STR-011,South,77,114.73,False,,0.0
2024-05-27,BEV-001,STR-011,South,59,87.91,False,,0.0
2024-06-03,BEV-001,STR-011,South,64,95.36,False,,0.0
2024-06-10,BEV-001,STR-011,South,59,87.91,False,,0.0
2024-01-01,BEV-001,STR-012,South,77,114.73,False,,0.0
2024-01-08,BEV-001,STR-012,South,171,137.59,True,BOGO,0.46
2024-01-15,BEV-001,STR-012,South,82,122.18,False,,0.0
2024-01-22,BEV-001,STR-012,South,82,122.18,False,,0.0
2024-01-29,BEV-001,STR-012,South,97,144.53,False,,0.0
2024-02-05,BEV-001,STR-012,South,92,137.08,False,,0.0
2024-02-12,BEV-001,STR-012,South,85,126.65,False,,0.0
2024-02-19,BEV-001,STR-012,South,90,134.1,False,,0.0
2024-02-26,BEV-001,STR-012,South,86,128.14,False,,0.0
2024-03-04,BEV-001,STR-012,South,103,153.47,False,,0.0
2024-03-11,BEV-001,STR-012,South,106,157.94,False,,0.0
2024-03-18,BEV-001,STR-012,South,97,144.53,False,,0.0
2024-03-25,BEV-001,STR-012,South,100,149.0,False,,0.0
2024-04-01,BEV-001,STR-012,South,133,188.26,True,Display Feature,0.05
2024-04-08,BEV-001,STR-012,South,147,208.08,True,Display Feature,0.05
2024-04-15,BEV-001,STR-012,South,124,175.52,True,Display Feature,0.05
2024-04-22,BEV-001,STR-012,South,104,154.96,False,,0.0
2024-04-29,BEV-001,STR-012,South,114,169.86,False,,0.0
2024-05-06,BEV-001,STR-012,South,100,149.0,False,,0.0
2024-05-13,BEV-001,STR-012,South,99,147.51,False,,0.0
2024-05-20,BEV-001,STR-012,South,103,153.47,False,,0.0
2024-05-27,BEV-001,STR-012,South,106,157.94,False,,0.0
2024-06-03,BEV-001,STR-012,South,99,147.51,False,,0.0
2024-06-10,BEV-001,STR-012,South,103,153.47,False,,0.0
2024-01-01,BEV-001,STR-013,South,73,108.77,False,,0.0
2024-01-08,BEV-001,STR-013,South,156,125.52,True,BOGO,0.46
2024-01-15,BEV-001,STR-013,South,92,137.08,False,,0.0
2024-01-22,BEV-001,STR-013,South,94,140.06,False,,0.0
2024-01-29,BEV-001,STR-013,South,102,151.98,False,,0.0
2024-02-05,BEV-001,STR-013,South,101,150.49,False,,0.0
2024-02-12,BEV-001,STR-013,South,104,154.96,False,,0.0
2024-02-19,BEV-001,STR-013,South,101,150.49,False,,0.0
2024-02-26,BEV-001,STR-013,South,104,154.96,False,,0.0
2024-03-04,BEV-001,STR-013,South,99,147.51,False,,0.0
2024-03-11,BEV-001,STR-013,South,110,163.9,False,,0.0
2024-03-18,BEV-001,STR-013,South,90,134.1,False,,0.0
2024-03-25,BEV-001,STR-013,South,117,155.15,True,Price Cut,0.11
2024-04-01,BEV-001,STR-013,South,108,160.92,False,,0.0
2024-04-08,BEV-001,STR-013,South,96,143.04,False,,0.0
2024-04-15,BEV-001,STR-013,South,114,169.86,False,,0.0
2024-04-22,BEV-001,STR-013,South,112,166.88,False,,0.0
2024-04-29,BEV-001,STR-013,South,116,172.84,False,,0.0
2024-05-06,BEV-001,STR-013,South,108,160.92,False,,0.0
2024-05-13,BEV-001,STR-013,South,111,165.39,False,,0.0
2024-05-20,BEV-001,STR-013,South,120,178.8,False,,0.0
2024-05-27,BEV-001,STR-013,South,119,177.31,False,,0.0
2024-06-03,BEV-001,STR-013,South,99,147.51,False,,0.0
2024-06-10,BEV-001,STR-013,South,111,165.39,False,,0.0
2024-01-01,BEV-001,STR-014,South,53,78.97,False,,0.0
2024-01-08,BEV-001,STR-014,South,49,73.01,False,,0.0
2024-01-15,BEV-001,STR-014,South,62,92.38,False,,0.0
2024-01-22,BEV-001,STR-014,South,52,77.48,False,,0.0
2024-01-29,BEV-001,STR-014,South,52,77.48,False,,0.0
2024-02-05,BEV-001,STR-014,South,51,75.99,False,,0.0
2024-02-12,BEV-001,STR-014,South,50,74.5,False,,0.0
2024-02-19,BEV-001,STR-014,South,58,86.42,False,,0.0
2024-02-26,BEV-001,STR-014,South,53,78.97,False,,0.0
2024-03-04,BEV-001,STR-014,South,60,89.4,False,,0.0
2024-03-11,BEV-001,STR-014,South,61,90.89,False,,0.0
2024-03-18,BEV-001,STR-014,South,52,77.48,False,,0.0
2024-03-25,BEV-001,STR-014,South,95,125.98,True,Price Cut,0.11
2024-04-01,BEV-001,STR-014,South,92,130.23,True,Display Feature,0.05
2024-04-08,BEV-001,STR-014,South,78,110.41,True,Display Feature,0.05
2024-04-15,BEV-001,STR-014,South,80,113.24,True,Display Feature,0.05
2024-04-22,BEV-001,STR-014,South,67,99.83,False,,0.0
2024-04-29,BEV-001,STR-014,South,68,101.32,False,,0.0
2024-05-06,BEV-001,STR-014,South,62,92.38,False,,0.0
2024-05-13,BEV-001,STR-014,South,76,113.24,False,,0.0
2024-05-20,BEV-001,STR-014,South,67,99.83,False,,0.0
2024-05-27,BEV-001,STR-014,South,76,113.24,False,,0.0
2024-06-03,BEV-001,STR-014,South,71,105.79,False,,0.0
2024-06-10,BEV-001,STR-014,South,65,96.85,False,,0.0
2024-01-01,BEV-001,STR-015,South,19,28.31,False,,0.0
2024-01-08,BEV-001,STR-015,South,20,29.8,False,,0.0
2024-01-15,BEV-001,STR-015,South,22,32.78,False,,0.0
2024-01-22,BEV-001,STR-015,South,20,29.8,False,,0.0
2024-01-29,BEV-001,STR-015,South,22,32.78,False,,0.0
2024-02-05,BEV-001,STR-015,South,22,32.78,False,,0.0
2024-02-12,BEV-001,STR-015,South,25,37.25,False,,0.0
2024-02-19,BEV-001,STR-015,South,22,32.78,False,,0.0
2024-02-26,BEV-001,STR-015,South,23,34.27,False,,0.0
2024-03-04,BEV-001,STR-015,South,24,35.76,False,,0.0
2024-03-11,BEV-001,STR-015,South,24,35.76,False,,0.0
2024-03-18,BEV-001,STR-015,South,28,41.72,False,,0.0
2024-03-25,BEV-001,STR-015,South,27,40.23,False,,0.0
2024-04-01,BEV-001,STR-015,South,30,42.47,True,Display Feature,0.05
2024-04-08,BEV-001,STR-015,South,35,49.54,True,Display Feature,0.05
2024-04-15,BEV-001,STR-015,South,30,42.47,True,Display Feature,0.05
2024-04-22,BEV-001,STR-015,South,29,43.21,False,,0.0
2024-04-29,BEV-001,STR-015,South,26,38.74,False,,0.0
2024-05-06,BEV-001,STR-015,South,22,32.78,False,,0.0
2024-05-13,BEV-001,STR-015,South,30,44.7,False,,0.0
2024-05-20,BEV-001,STR-015,South,28,41.72,False,,0.0
2024-05-27,BEV-001,STR-015,South,29,43.21,False,,0.0
2024-06-03,BEV-001,STR-015,South,31,46.19,False,,0.0
2024-06-10,BEV-001,STR-015,South,28,41.72,False,,0.0
2024-01-01,BEV-001,STR-016,South,21,31.29,False,,0.0
2024-01-08,BEV-001,STR-016,South,44,35.4,True,BOGO,0.46
2024-01-15,BEV-001,STR-016,South,20,29.8,False,,0.0
2024-01-22,BEV-001,STR-016,South,23,34.27,False,,0.0
2024-01-29,BEV-001,STR-016,South,22,32.78,False,,0.0
2024-02-05,BEV-001,STR-016,South,20,29.8,False,,0.0
2024-02-12,BEV-001,STR-016,South,21,31.29,False,,0.0
2024-02-19,BEV-001,STR-016,South,20,29.8,False,,0.0
2024-02-26,BEV-001,STR-016,South,27,40.23,False,,0.0
2024-03-04,BEV-001,STR-016,South,25,37.25,False,,0.0
2024-03-11,BEV-001,STR-016,South,26,38.74,False,,0.0
2024-03-18,BEV-001,STR-016,South,27,40.23,False,,0.0
2024-03-25,BEV-001,STR-016,South,23,34.27,False,,0.0
2024-04-01,BEV-001,STR-016,South,31,43.88,True,Display Feature,0.05
2024-04-08,BEV-001,STR-016,South,34,48.13,True,Display Feature,0.05
2024-04-15,BEV-001,STR-016,South,31,43.88,True,Display Feature,0.05
2024-04-22,BEV-001,STR-016,South,22,32.78,False,,0.0
2024-04-29,BEV-001,STR-016,South,23,34.27,False,,0.0
2024-05-06,BEV-001,STR-016,South,27,40.23,False,,0.0
2024-05-13,BEV-001,STR-016,South,30,44.7,False,,0.0
2024-05-20,BEV-001,STR-016,South,23,34.27,False,,0.0
2024-05-27,BEV-001,STR-016,South,26,38.74,False,,0.0
2024-06-03,BEV-001,STR-016,South,31,46.19,False,,0.0
2024-06-10,BEV-001,STR-016,South,32,47.68,False,,0.0
2024-01-01,BEV-001,STR-017,South,61,90.89,False,,0.0
2024-01-08,BEV-001,STR-017,South,56,83.44,False,,0.0
2024-01-15,BEV-001,STR-017,South,73,108.77,False,,0.0
2024-01-22,BEV-001,STR-017,South,63,93.87,False,,0.0
2024-01-29,BEV-001,STR-017,South,61,90.89,False,,0.0
2024-02-05,BEV-001,STR-017,South,62,92.38,False,,0.0
2024-02-12,BEV-001,STR-017,South,65,96.85,False,,0.0
2024-02-19,BEV-001,STR-017,South,84,125.16,False,,0.0
2024-02-26,BEV-001,STR-017,South,66,98.34,False,,0.0
2024-03-04,BEV-001,STR-017,South,65,96.85,False,,0.0
2024-03-11,BEV-001,STR-017,South,71,105.79,False,,0.0
2024-03-18,BEV-001,STR-017,South,83,123.67,False,,0.0
2024-03-25,BEV-001,STR-017,South,68,101.32,False,,0.0
2024-04-01,BEV-001,STR-017,South,114,161.37,True,Display Feature,0.05
2024-04-08,BEV-001,STR-017,South,94,133.06,True,Display Feature,0.05
2024-04-15,BEV-001,STR-017,South,114,161.37,True,Display Feature,0.05
2024-04-22,BEV-001,STR-017,South,92,137.08,False,,0.0
2024-04-29,BEV-001,STR-017,South,76,113.24,False,,0.0
2024-05-06,BEV-001,STR-017,South,89,132.61,False,,0.0
2024-05-13,BEV-001,STR-017,South,72,107.28,False,,0.0
2024-05-20,BEV-001,STR-017,South,93,138.57,False,,0.0
2024-05-27,BEV-001,STR-017,South,75,111.75,False,,0.0
2024-06-03,BEV-001,STR-017,South,92,137.08,False,,0.0
2024-06-10,BEV-001,STR-017,South,78,116.22,False,,0.0
2024-01-01,BEV-001,STR-018,South,49,73.01,False,,0.0
2024-01-08,BEV-001,STR-018,South,88,70.8,True,BOGO,0.46
2024-01-15,BEV-001,STR-018,South,54,80.46,False,,0.0
2024-01-22,BEV-001,STR-018,South,59,87.91,False,,0.0
2024-01-29,BEV-001,STR-018,South,61,90.89,False,,0.0
