week_start_date,product_id,store_id,opening_stock,units_received,units_sold,closing_stock,stockout_flag
2024-05-06,BEV-001,STR-004,57,156,81,132,False
2024-05-13,BEV-001,STR-004,132,0,79,53,False
2024-05-20,BEV-001,STR-004,53,160,87,126,False
2024-05-27,BEV-001,STR-004,126,0,73,53,False
2024-06-03,BEV-001,STR-004,53,160,76,137,False
2024-06-10,BEV-001,STR-004,137,0,71,66,False
2024-01-01,BEV-001,STR-005,213,0,64,149,False
2024-01-08,BEV-001,STR-005,149,0,64,85,False
2024-01-15,BEV-001,STR-005,85,0,56,29,False
2024-01-22,BEV-001,STR-005,29,184,71,142,False
2024-01-29,BEV-001,STR-005,142,0,66,76,False
2024-02-05,BEV-001,STR-005,76,137,67,146,False
2024-02-12,BEV-001,STR-005,146,0,63,83,False
2024-02-19,BEV-001,STR-005,83,130,64,149,False
2024-02-26,BEV-001,STR-005,149,0,61,88,False
2024-03-04,BEV-001,STR-005,88,0,68,20,False
2024-03-11,BEV-001,STR-005,20,193,76,137,False
2024-03-18,BEV-001,STR-005,137,0,80,57,False
2024-03-25,BEV-001,STR-005,57,156,68,145,False
2024-04-01,BEV-001,STR-005,145,0,95,50,False
2024-04-08,BEV-001,STR-005,50,163,91,122,False
2024-04-15,BEV-001,STR-005,122,0,115,7,False
2024-04-22,BEV-001,STR-005,7,206,85,128,False
2024-04-29,BEV-001,STR-005,128,0,66,62,False
2024-05-06,BEV-001,STR-005,62,151,72,141,False
2024-05-13,BEV-001,STR-005,141,0,85,56,False
2024-05-20,BEV-001,STR-005,56,157,85,128,False
2024-05-27,BEV-001,STR-005,128,0,76,52,False
2024-06-03,BEV-001,STR-005,52,161,77,136,False
2024-06-10,BEV-001,STR-005,136,0,76,60,False
2024-01-01,BEV-001,STR-006,342,0,98,244,False
2024-01-08,BEV-001,STR-006,244,0,101,143,False
2024-01-15,BEV-001,STR-006,143,0,110,33,False
2024-01-22,BEV-001,STR-006,33,309,105,237,False
2024-01-29,BEV-001,STR-006,237,0,118,119,False
2024-02-05,BEV-001,STR-006,119,223,120,222,False
2024-02-12,BEV-001,STR-006,222,0,108,114,False
2024-02-19,BEV-001,STR-006,114,228,114,228,False
2024-02-26,BEV-001,STR-006,228,0,106,122,False
2024-03-04,BEV-001,STR-006,122,220,118,224,False
2024-03-11,BEV-001,STR-006,224,0,100,124,False
2024-03-18,BEV-001,STR-006,124,218,104,238,False
2024-03-25,BEV-001,STR-006,238,0,135,103,False
2024-04-01,BEV-001,STR-006,103,239,134,208,False
2024-04-08,BEV-001,STR-006,208,0,125,83,False
2024-04-15,BEV-001,STR-006,83,259,170,172,False
2024-04-22,BEV-001,STR-006,172,0,131,41,False
2024-04-29,BEV-001,STR-006,41,212,119,134,False
2024-05-06,BEV-001,STR-006,134,208,137,205,False
2024-05-13,BEV-001,STR-006,205,0,141,64,False
2024-05-20,BEV-001,STR-006,64,223,143,144,False
2024-05-27,BEV-001,STR-006,144,0,144,0,True
2024-06-03,BEV-001,STR-006,0,342,118,224,False
2024-06-10,BEV-001,STR-006,224,0,116,108,False
2024-01-01,BEV-001,STR-007,85,0,26,59,False
2024-01-08,BEV-001,STR-007,59,0,55,4,False
2024-01-15,BEV-001,STR-007,4,81,25,60,False
2024-01-22,BEV-001,STR-007,60,0,23,37,False
2024-01-29,BEV-001,STR-007,37,0,24,13,False
2024-02-05,BEV-001,STR-007,13,72,25,60,False
2024-02-12,BEV-001,STR-007,60,0,26,34,False
2024-02-19,BEV-001,STR-007,34,0,27,7,False
2024-02-26,BEV-001,STR-007,7,46,26,27,False
2024-03-04,BEV-001,STR-007,27,58,27,58,False
2024-03-11,BEV-001,STR-007,58,0,27,31,False
2024-03-18,BEV-001,STR-007,31,54,29,56,False
2024-03-25,BEV-001,STR-007,56,0,32,24,False
2024-04-01,BEV-001,STR-007,24,61,25,60,False
2024-04-08,BEV-001,STR-007,60,0,29,31,False
2024-04-15,BEV-001,STR-007,31,54,33,52,False
2024-04-22,BEV-001,STR-007,52,0,29,23,False
2024-04-29,BEV-001,STR-007,23,62,31,54,False
2024-05-06,BEV-001,STR-007,54,0,29,25,False
2024-05-13,BEV-001,STR-007,25,60,28,57,False
2024-05-20,BEV-001,STR-007,57,0,35,22,False
2024-05-27,BEV-001,STR-007,22,63,27,58,False
2024-06-03,BEV-001,STR-007,58,0,30,28,False
2024-06-10,BEV-001,STR-007,28,57,37,48,False
2024-01-01,BEV-001,STR-008,342,0,80,262,False
2024-01-08,BEV-001,STR-008,262,0,195,67,False
2024-01-15,BEV-001,STR-008,67,275,95,247,False
2024-01-22,BEV-001,STR-008,247,0,106,141,False
2024-01-29,BEV-001,STR-008,141,0,103,38,False
2024-02-05,BEV-001,STR-008,38,304,101,241,False
2024-02-12,BEV-001,STR-008,241,0,125,116,False
2024-02-19,BEV-001,STR-008,116,226,102,240,False
2024-02-26,BEV-001,STR-008,240,0,119,121,False
2024-03-04,BEV-001,STR-008,121,221,100,242,False
2024-03-11,BEV-001,STR-008,242,0,120,122,False
2024-03-18,BEV-001,STR-008,122,170,123,169,False
2024-03-25,BEV-001,STR-008,169,0,169,0,True
2024-04-01,BEV-001,STR-008,0,342,147,195,False
2024-04-08,BEV-001,STR-008,195,0,145,50,False
2024-04-15,BEV-001,STR-008,50,292,133,209,False
2024-04-22,BEV-001,STR-008,209,0,114,95,False
2024-04-29,BEV-001,STR-008,95,247,124,218,False
2024-05-06,BEV-001,STR-008,218,0,120,98,False
2024-05-13,BEV-001,STR-008,98,244,116,226,False
2024-05-20,BEV-001,STR-008,226,0,126,100,False
2024-05-27,BEV-001,STR-008,100,242,138,204,False
2024-06-03,BEV-001,STR-008,204,0,140,64,False
2024-06-10,BEV-001,STR-008,64,278,125,217,False
2024-01-01,BEV-001,STR-009,213,0,56,157,False
2024-01-08,BEV-001,STR-009,157,0,54,103,False
2024-01-15,BEV-001,STR-009,103,0,72,31,False
2024-01-22,BEV-001,STR-009,31,182,71,142,False
2024-01-29,BEV-001,STR-009,142,0,61,81,False
2024-02-05,BEV-001,STR-009,81,132,74,139,False
2024-02-12,BEV-001,STR-009,139,0,70,69,False
2024-02-19,BEV-001,STR-009,69,144,69,144,False
2024-02-26,BEV-001,STR-009,144,0,78,66,False
2024-03-04,BEV-001,STR-009,66,147,65,148,False
2024-03-11,BEV-001,STR-009,148,0,68,80,False
2024-03-18,BEV-001,STR-009,80,133,80,133,False
2024-03-25,BEV-001,STR-009,133,0,66,67,False
2024-04-01,BEV-001,STR-009,67,146,69,144,False
2024-04-08,BEV-001,STR-009,144,0,71,73,False
2024-04-15,BEV-001,STR-009,73,140,68,145,False
2024-04-22,BEV-001,STR-009,145,0,73,72,False
2024-04-29,BEV-001,STR-009,72,141,88,125,False
2024-05-06,BEV-001,STR-009,125,0,83,42,False
2024-05-13,BEV-001,STR-009,42,171,90,123,False
2024-05-20,BEV-001,STR-009,123,0,70,53,False
2024-05-27,BEV-001,STR-009,53,160,92,121,False
2024-06-03,BEV-001,STR-009,121,0,88,33,False
2024-06-10,BEV-001,STR-009,33,180,80,133,False
2024-01-01,BEV-001,STR-010,270,0,68,202,False
2024-01-08,BEV-001,STR-010,202,0,79,123,False
2024-01-15,BEV-001,STR-010,123,0,73,50,False
2024-01-22,BEV-001,STR-010,50,220,81,189,False
2024-01-29,BEV-001,STR-010,189,0,73,116,False
2024-02-05,BEV-001,STR-010,116,0,83,33,False
2024-02-12,BEV-001,STR-010,33,237,92,178,False
2024-02-19,BEV-001,STR-010,178,0,88,90,False
2024-02-26,BEV-001,STR-010,90,180,88,182,False
2024-03-04,BEV-001,STR-010,182,0,80,102,False
2024-03-11,BEV-001,STR-010,102,168,88,182,False
2024-03-18,BEV-001,STR-010,182,0,99,83,False
2024-03-25,BEV-001,STR-010,83,187,91,179,False
2024-04-01,BEV-001,STR-010,179,0,133,46,False
2024-04-08,BEV-001,STR-010,46,224,126,144,False
2024-04-15,BEV-001,STR-010,144,0,143,1,False
2024-04-22,BEV-001,STR-010,1,269,107,163,False
2024-04-29,BEV-001,STR-010,163,0,103,60,False
2024-05-06,BEV-001,STR-010,60,210,98,172,False
2024-05-13,BEV-001,STR-010,172,0,94,78,False
2024-05-20,BEV-001,STR-010,78,192,89,181,False
2024-05-27,BEV-001,STR-010,181,0,99,82,False
2024-06-03,BEV-001,STR-010,82,188,109,161,False
2024-06-10,BEV-001,STR-010,161,0,108,53,False
2024-01-01,BEV-001,STR-011,179,0,48,131,False
2024-01-08,BEV-001,STR-011,131,0,49,82,False
2024-01-15,BEV-001,STR-011,82,0,57,25,False
2024-01-22,BEV-001,STR-011,25,154,59,120,False
2024-01-29,BEV-001,STR-011,120,0,64,56,False
2024-02-05,BEV-001,STR-011,56,123,60,119,False
2024-02-12,BEV-001,STR-011,119,0,63,56,False
2024-02-19,BEV-001,STR-011,56,123,58,121,False
2024-02-26,BEV-001,STR-011,121,0,67,54,False
2024-03-04,BEV-001,STR-011,54,86,54,86,False
2024-03-11,BEV-001,STR-011,86,0,65,21,False
2024-03-18,BEV-001,STR-011,21,158,61,118,False
2024-03-25,BEV-001,STR-011,118,0,54,64,False
2024-04-01,BEV-001,STR-011,64,115,87,92,False
2024-04-08,BEV-001,STR-011,92,0,85,7,False
2024-04-15,BEV-001,STR-011,7,172,81,98,False
2024-04-22,BEV-001,STR-011,98,0,73,25,False
2024-04-29,BEV-001,STR-011,25,154,69,110,False
2024-05-06,BEV-001,STR-011,110,0,63,47,False
2024-05-13,BEV-001,STR-011,47,132,59,120,False
2024-05-20,BEV-001,STR-011,120,0,77,43,False
2024-05-27,BEV-001,STR-011,43,136,59,120,False
2024-06-03,BEV-001,STR-011,120,0,64,56,False
2024-06-10,BEV-001,STR-011,56,123,59,120,False
2024-01-01,BEV-001,STR-012,287,0,77,210,False
2024-01-08,BEV-001,STR-012,210,0,171,39,False
2024-01-15,BEV-001,STR-012,39,248,82,205,False
2024-01-22,BEV-001,STR-012,205,0,82,123,False
2024-01-29,BEV-001,STR-012,123,0,97,26,False
2024-02-05,BEV-001,STR-012,26,261,92,195,False
2024-02-12,BEV-001,STR-012,195,0,85,110,False
2024-02-19,BEV-001,STR-012,110,177,90,197,False
2024-02-26,BEV-001,STR-012,197,0,86,111,False
2024-03-04,BEV-001,STR-012,111,176,103,184,False
2024-03-11,BEV-001,STR-012,184,0,106,78,False
2024-03-18,BEV-001,STR-012,78,209,97,190,False
2024-03-25,BEV-001,STR-012,190,0,100,90,False
2024-04-01,BEV-001,STR-012,90,197,133,154,False
2024-04-08,BEV-001,STR-012,154,0,147,7,False
2024-04-15,BEV-001,STR-012,7,280,124,163,False
2024-04-22,BEV-001,STR-012,163,0,104,59,False
2024-04-29,BEV-001,STR-012,59,228,114,173,False
2024-05-06,BEV-001,STR-012,173,0,100,73,False
2024-05-13,BEV-001,STR-012,73,214,99,188,False
2024-05-20,BEV-001,STR-012,188,0,103,85,False
2024-05-27,BEV-001,STR-012,85,202,106,181,False
2024-06-03,BEV-001,STR-012,181,0,99,82,False
2024-06-10,BEV-001,STR-012,82,154,103,133,False
2024-01-01,BEV-001,STR-013,287,0,73,214,False
2024-01-08,BEV-001,STR-013,214,0,156,58,False
2024-01-15,BEV-001,STR-013,58,229,92,195,False
2024-01-22,BEV-001,STR-013,195,0,94,101,False
2024-01-29,BEV-001,STR-013,101,186,102,185,False
2024-02-05,BEV-001,STR-013,185,0,101,84,False
2024-02-12,BEV-001,STR-013,84,160,104,140,False
2024-02-19,BEV-001,STR-013,140,0,101,39,False
2024-02-26,BEV-001,STR-013,39,248,104,183,False
2024-03-04,BEV-001,STR-013,183,0,99,84,False
2024-03-11,BEV-001,STR-013,84,102,110,76,False
2024-03-18,BEV-001,STR-013,76,211,90,197,False
2024-03-25,BEV-001,STR-013,197,0,117,80,False
2024-04-01,BEV-001,STR-013,80,207,108,179,False
2024-04-08,BEV-001,STR-013,179,0,96,83,False
2024-04-15,BEV-001,STR-013,83,204,114,173,False
2024-04-22,BEV-001,STR-013,173,0,112,61,False
2024-04-29,BEV-001,STR-013,61,226,116,171,False
2024-05-06,BEV-001,STR-013,171,0,108,63,False
2024-05-13,BEV-001,STR-013,63,224,111,176,False
2024-05-20,BEV-001,STR-013,176,0,120,56,False
2024-05-27,BEV-001,STR-013,56,231,119,168,False
2024-06-03,BEV-001,STR-013,168,0,99,69,False
2024-06-10,BEV-001,STR-013,69,218,111,176,False
2024-01-01,BEV-001,STR-014,179,0,53,126,False
2024-01-08,BEV-001,STR-014,126,0,49,77,False
2024-01-15,BEV-001,STR-014,77,0,62,15,False
2024-01-22,BEV-001,STR-014,15,164,52,127,False
2024-01-29,BEV-001,STR-014,127,0,52,75,False
2024-02-05,BEV-001,STR-014,75,0,51,24,False
2024-02-12,BEV-001,STR-014,24,155,50,129,False
2024-02-19,BEV-001,STR-014,129,0,58,71,False
2024-02-26,BEV-001,STR-014,71,0,53,18,False
2024-03-04,BEV-001,STR-014,18,161,60,119,False
2024-03-11,BEV-001,STR-014,119,0,61,58,False
2024-03-18,BEV-001,STR-014,58,121,52,127,False
2024-03-25,BEV-001,STR-014,127,0,95,32,False
2024-04-01,BEV-001,STR-014,32,147,92,87,False
2024-04-08,BEV-001,STR-014,87,0,78,9,False
2024-04-15,BEV-001,STR-014,9,170,80,99,False
2024-04-22,BEV-001,STR-014,99,0,67,32,False
2024-04-29,BEV-001,STR-014,32,104,68,68,False
2024-05-06,BEV-001,STR-014,68,111,62,117,False
2024-05-13,BEV-001,STR-014,117,0,76,41,False
2024-05-20,BEV-001,STR-014,41,138,67,112,False
2024-05-27,BEV-001,STR-014,112,0,76,36,False
2024-06-03,BEV-001,STR-014,36,107,71,72,False
2024-06-10,BEV-001,STR-014,72,0,65,7,False
2024-01-01,BEV-001,STR-015,71,0,19,52,False
2024-01-08,BEV-001,STR-015,52,0,20,32,False
2024-01-15,BEV-001,STR-015,32,0,22,10,False
2024-01-22,BEV-001,STR-015,10,61,20,51,False
2024-01-29,BEV-001,STR-015,51,0,22,29,False
2024-02-05,BEV-001,STR-015,29,0,22,7,False
2024-02-12,BEV-001,STR-015,7,64,25,46,False
2024-02-19,BEV-001,STR-015,46,0,22,24,False
2024-02-26,BEV-001,STR-015,24,47,23,48,False
2024-03-04,BEV-001,STR-015,48,0,24,24,False
2024-03-11,BEV-001,STR-015,24,47,24,47,False
2024-03-18,BEV-001,STR-015,47,0,28,19,False
2024-03-25,BEV-001,STR-015,19,52,27,44,False
2024-04-01,BEV-001,STR-015,44,0,30,14,False
2024-04-08,BEV-001,STR-015,14,57,35,36,False
2024-04-15,BEV-001,STR-015,36,0,30,6,False
2024-04-22,BEV-001,STR-015,6,65,29,42,False
2024-04-29,BEV-001,STR-015,42,0,26,16,False
2024-05-06,BEV-001,STR-015,16,33,22,27,False
2024-05-13,BEV-001,STR-015,27,44,30,41,False
2024-05-20,BEV-001,STR-015,41,0,28,13,False
2024-05-27,BEV-001,STR-015,13,58,29,42,False
2024-06-03,BEV-001,STR-015,42,0,31,11,False
2024-06-10,BEV-001,STR-015,11,60,28,43,False
2024-01-01,BEV-001,STR-016,71,0,21,50,False
2024-01-08,BEV-001,STR-016,50,0,44,6,False
2024-01-15,BEV-001,STR-016,6,65,20,51,False
2024-01-22,BEV-001,STR-016,51,0,23,28,False
2024-01-29,BEV-001,STR-016,28,0,22,6,False
2024-02-05,BEV-001,STR-016,6,65,20,51,False
2024-02-12,BEV-001,STR-016,51,0,21,30,False
2024-02-19,BEV-001,STR-016,30,0,20,10,False
2024-02-26,BEV-001,STR-016,10,61,27,44,False
2024-03-04,BEV-001,STR-016,44,0,25,19,False
2024-03-11,BEV-001,STR-016,19,52,26,45,False
2024-03-18,BEV-001,STR-016,45,0,27,18,False
2024-03-25,BEV-001,STR-016,18,53,23,48,False
2024-04-01,BEV-001,STR-016,48,0,31,17,False
2024-04-08,BEV-001,STR-016,17,54,34,37,False
2024-04-15,BEV-001,STR-016,37,0,31,6,False
2024-04-22,BEV-001,STR-016,6,65,22,49,False
2024-04-29,BEV-001,STR-016,49,0,23,26,False
2024-05-06,BEV-001,STR-016,26,45,27,44,False
2024-05-13,BEV-001,STR-016,44,0,30,14,False
2024-05-20,BEV-001,STR-016,14,57,23,48,False
2024-05-27,BEV-001,STR-016,48,0,26,22,False
2024-06-03,BEV-001,STR-016,22,49,31,40,False
2024-06-10,BEV-001,STR-016,40,0,32,8,False
2024-01-01,BEV-001,STR-017,227,0,61,166,False
2024-01-08,BEV-001,STR-017,166,0,56,110,False
2024-01-15,BEV-001,STR-017,110,0,73,37,False
2024-01-22,BEV-001,STR-017,37,190,63,164,False
2024-01-29,BEV-001,STR-017,164,0,61,103,False
2024-02-05,BEV-001,STR-017,103,0,62,41,False
2024-02-12,BEV-001,STR-017,41,186,65,162,False
2024-02-19,BEV-001,STR-017,162,0,84,78,False
2024-02-26,BEV-001,STR-017,78,119,66,131,False
2024-03-04,BEV-001,STR-017,131,0,65,66,False
2024-03-11,BEV-001,STR-017,66,161,71,156,False
2024-03-18,BEV-001,STR-017,156,0,83,73,False
2024-03-25,BEV-001,STR-017,73,154,68,159,False
2024-04-01,BEV-001,STR-017,159,0,114,45,False
2024-04-08,BEV-001,STR-017,45,182,94,133,False
2024-04-15,BEV-001,STR-017,133,0,114,19,False
2024-04-22,BEV-001,STR-017,19,208,92,135,False
2024-04-29,BEV-001,STR-017,135,0,76,59,False
2024-05-06,BEV-001,STR-017,59,168,89,138,False
2024-05-13,BEV-001,STR-017,138,0,72,66,False
2024-05-20,BEV-001,STR-017,66,117,93,90,False
2024-05-27,BEV-001,STR-017,90,0,75,15,False
2024-06-03,BEV-001,STR-017,15,212,92,135,False
2024-06-10,BEV-001,STR-017,135,0,78,57,False
2024-01-01,BEV-001,STR-018,179,0,49,130,False
2024-01-08,BEV-001,STR-018,130,0,88,42,False
2024-01-15,BEV-001,STR-018,42,137,54,125,False
2024-01-22,BEV-001,STR-018,125,0,59,66,False
2024-01-29,BEV-001,STR-018,66,113,61,118,False
2024-02-05,BEV-001,STR-018,118,0,55,63,False
2024-02-12,BEV-001,STR-018,63,116,60,119,False
2024-02-19,BEV-001,STR-018,119,0,57,62,False
2024-02-26,BEV-001,STR-018,62,117,64,115,False
2024-03-04,BEV-001,STR-018,115,0,68,47,False
2024-03-11,BEV-001,STR-018,47,132,62,117,False
2024-03-18,BEV-001,STR-018,117,0,57,60,False
2024-03-25,BEV-001,STR-018,60,100,102,58,False
2024-04-01,BEV-001,STR-018,58,121,64,115,False
2024-04-08,BEV-001,STR-018,115,0,72,43,False
2024-04-15,BEV-001,STR-018,43,136,66,113,False
2024-04-22,BEV-001,STR-018,113,0,61,52,False
2024-04-29,BEV-001,STR-018,52,127,72,107,False
2024-05-06,BEV-001,STR-018,107,0,63,44,False
2024-05-13,BEV-001,STR-018,44,135,68,111,False
2024-05-20,BEV-001,STR-018,111,0,75,36,False
2024-05-27,BEV-001,STR-018,36,143,63,116,False
2024-06-03,BEV-001,STR-018,116,0,58,58,False
2024-06-10,BEV-001,STR-018,58,121,67,112,False
2024-01-01,BEV-001,STR-019,179,0,51,128,False
2024-01-08,BEV-001,STR-019,128,0,124,4,False
2024-01-15,BEV-001,STR-019,4,138,60,82,False
2024-01-22,BEV-001,STR-019,82,0,62,20,False
2024-01-29,BEV-001,STR-019,20,159,53,126,False
2024-02-05,BEV-001,STR-019,126,0,63,63,False
2024-02-12,BEV-001,STR-019,63,116,61,118,False
2024-02-19,BEV-001,STR-019,118,0,66,52,False
2024-02-26,BEV-001,STR-019,52,127,52,127,False
2024-03-04,BEV-001,STR-019,127,0,61,66,False
2024-03-11,BEV-001,STR-019,66,113,55,124,False
2024-03-18,BEV-001,STR-019,124,0,66,58,False
2024-03-25,BEV-001,STR-019,58,121,87,92,False
2024-04-01,BEV-001,STR-019,92,0,66,26,False
2024-04-08,BEV-001,STR-019,26,153,57,122,False
2024-04-15,BEV-001,STR-019,122,0,59,63,False
2024-04-22,BEV-001,STR-019,63,116,70,109,False
2024-04-29,BEV-001,STR-019,109,0,64,45,False
2024-05-06,BEV-001,STR-019,45,104,71,78,False
2024-05-13,BEV-001,STR-019,78,0,61,17,False
2024-05-20,BEV-001,STR-019,17,162,75,104,False
2024-05-27,BEV-001,STR-019,104,0,75,29,False
2024-06-03,BEV-001,STR-019,29,150,68,111,False
2024-06-10,BEV-001,STR-019,111,0,71,40,False
2024-01-01,BEV-001,STR-020,287,0,72,215,False
2024-01-08,BEV-001,STR-020,215,0,161,54,False
2024-01-15,BEV-001,STR-020,54,233,90,197,False
2024-01-22,BEV-001,STR-020,197,0,87,110,False
2024-01-29,BEV-001,STR-020,110,177,81,206,False
2024-02-05,BEV-001,STR-020,206,0,79,127,False
2024-02-12,BEV-001,STR-020,127,0,106,21,False
2024-02-19,BEV-001,STR-020,21,266,82,205,False
2024-02-26,BEV-001,STR-020,205,0,98,107,False
2024-03-04,BEV-001,STR-020,107,180,86,201,False
2024-03-11,BEV-001,STR-020,201,0,99,102,False
2024-03-18,BEV-001,STR-020,102,185,98,189,False
2024-03-25,BEV-001,STR-020,189,0,111,78,False
2024-04-01,BEV-001,STR-020,78,209,136,151,False
2024-04-08,BEV-001,STR-020,151,0,123,28,False
2024-04-15,BEV-001,STR-020,28,259,148,139,False
2024-04-22,BEV-001,STR-020,139,0,111,28,False
2024-04-29,BEV-001,STR-020,28,259,118,169,False
2024-05-06,BEV-001,STR-020,169,0,97,72,False
2024-05-13,BEV-001,STR-020,72,122,96,98,False
2024-05-20,BEV-001,STR-020,98,97,109,86,False
2024-05-27,BEV-001,STR-020,86,201,107,180,False
2024-06-03,BEV-001,STR-020,180,0,124,56,False
2024-06-10,BEV-001,STR-020,56,231,96,191,False
2024-01-01,BEV-001,STR-021,61,0,17,44,False
2024-01-08,BEV-001,STR-021,44,0,17,27,False
2024-01-15,BEV-001,STR-021,27,0,17,10,False
2024-01-22,BEV-001,STR-021,10,51,18,43,False
2024-01-29,BEV-001,STR-021,43,0,20,23,False
2024-02-05,BEV-001,STR-021,23,38,22,39,False
2024-02-12,BEV-001,STR-021,39,0,21,18,False
2024-02-19,BEV-001,STR-021,18,43,20,41,False
2024-02-26,BEV-001,STR-021,41,0,18,23,False
2024-03-04,BEV-001,STR-021,23,38,23,38,False
2024-03-11,BEV-001,STR-021,38,0,19,19,False
2024-03-18,BEV-001,STR-021,19,24,20,23,False
2024-03-25,BEV-001,STR-021,23,38,37,24,False
2024-04-01,BEV-001,STR-021,24,0,18,6,False
2024-04-08,BEV-001,STR-021,6,55,23,38,False
2024-04-15,BEV-001,STR-021,38,0,23,15,False
2024-04-22,BEV-001,STR-021,15,46,19,42,False
